item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	merchant-shipping-group	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3
Oil Slick Slick Paper 1,000 Pre-Cut Silicone Release Paper Squares 4.5" × 4.5", 40 lb Ultra-Non-Stick Liner, Craft & Rosin Press Sheets, pH-Balanced	<b>Oil Slick SLICK PAPER – Bulk Pre-Cut Silicone Release Sheets</b><br> Save time, save product, and stay mess-free with our industry-leading, ultra-non-stick liner squares.<br><br> <b>Why SLICK PAPER Outperforms Parchment</b><br> Medical-grade, terpene-proof silicone coating – releases concentrates & crafts without ripping.<br> Heavy-duty 40 lb base paper – resists curling under heat-press plates.<br> Dual-surface design – silicone side for release, plain kraft side for stability & labeling.<br><br> <b>Perfect For</b><br> Rosin press extraction & slab storage<br> Diamond-painting drill trays & sticker release liners<br> Resin art, candle pouring, sublimation & HTV alignment<br><br> <b>Technical Specs</b><br> Sheet size: 4.5 × 4.5 in (114 × 114 mm)<br> Pack count: 1,000 sheets (10 inner packs × 100)<br> Weight: 40 lb (≈ 65 gsm)<br> pH-balanced, moisture-resistant, BPA- & PFAS-free<br><br> <b>Important Note</b><br> Intended for craft & extraction use. Not approved for direct food baking.<br><br> <b>Oil Slick Quality Guarantee</b><br> If your sheets ever fail to meet expectations, contact us for a no-hassle replacement or refund.	1008VF09UN9	0684753028636	20		2019-10-08 12:45:22 PDT		y	1			11				B07YMNPRF7						B07YMNPRF7				AMAZON_NA													Default Amazon Template							
Oil Slick Duo Platinum Cured Medical Grade Silicone Pads, Set of 2, 3.25x4.5" Pads		1229AZHJQ13	0798304216899	5		2023-12-29 12:02:06 PST		y	1			11				B0080S21G0						B0080S21G0				AMAZON_NA													Default Amazon Template							
100 Pack 5ml Jar Screw Lid Black - Small Glass Cosmetic Packaging Container for Cream, Wax, and Balms		0320F6Z0376	250pc 5ml Screw Top Jar with Black Lids	33		2025-03-20 11:05:17 PDT		y	1			11				B08F9PB9GQ						B08F9PB9GQ				AMAZON_NA													Regional Prime (Ground + Air)							
Oil Slick 25 Pack 5 oz Glass Jars with Child‑Resistant Black Lids | Straight‑Sided, Wide‑Mouth, Airtight & Reusable Storage Containers for Honey, Spices, DIY Cosmetics, Herbs, Candles & More	<p><strong>Tell Your Story in Glass.</strong> Saturday‑morning honey harvests, secret‑blend spice rubs, midnight batches of hydrating face cream—whatever you make, share or sell, it deserves a container that protects the magic inside while looking good on the outside.</p> <p><strong>Oil Slick’s straight‑sided 5‑oz glass jars</strong> pair laboratory‑tested child‑resistant lids with crystal‑clear, thick glass that locks in aroma and moisture. The push‑and‑turn closure gives parents peace of mind; the wide 50 mm mouth loves funnels, scoops and labels; and the durable, lead‑free walls shrug off daily dish‑washing without clouding or cracking. From pantry staples and home‑made candles to sample cosmetics and apothecary herbs, these reusable jars organise chaos and elevate your brand.</p> <p>Order the value 25‑count case today and put every ounce of your creativity on display—safely, sustainably and in style.</p> <p><em>Note: Child‑resistant does not mean childproof. Always store filled jars out of reach of children.</em></p>	0812YXMO0T2	25x5ozcr	45		2021-08-12 11:57:12 PDT		y	1			11				B09CHLTLCK						B09CHLTLCK				AMAZON_NA													Regional Prime (Ground + Air)							
200 pcs 6ml No-Neck Glass Jars with Silicone Lids - Airtight, Straight-Sided for Lip Balm, Wax, Cosmetic Creams	The 200pcs 6ml No-Neck Glass Jars with Silicone Lids set is an essential tool for anyone in the cosmetics, beauty, or DIY industry. Designed with a straight-sided, no-neck profile, these jars are not only visually appealing but also incredibly practical, allowing easy access to every last drop of product. Whether you're packaging lip balms, waxes, or cosmetic creams, these jars ensure that none of your valuable product goes to waste. Each jar comes with a durable silicone lid that creates an airtight seal, protecting the contents from air exposure and moisture, thus maintaining product freshness and efficacy. Their compact 6ml size makes them ideal for distributing samples, crafting DIY skincare or beauty products, or even everyday personal use. Made from high-quality glass, these jars are durable and elegant, making them an excellent choice for both businesses and individuals. This bulk set of 200 jars ensures you have enough for large projects, small business packaging, or organized storage. Whether you're a small business owner aiming to provide professional-grade packaging to your customers or a DIY enthusiast looking for practical storage solutions, this 200-pack of glass jars is the perfect addition to your supplies.	1119Y9BGB7J	2D-OL0M-MKOW	59		2021-11-19 15:25:14 PST		y	1			11				B09M99YG8L						B09M99YG8L				AMAZON_NA													Default Amazon Template							
Oil Slick Wrap Foil Backed Parchment Paper 12”x600” Alternative to Martha Wrap or Reynolds Pan Lining		0827VT0M320	3Y-HDJE-LVPT	29		2019-08-27 13:56:53 PDT		y	1			11				B00XV01S16						B00XV01S16				AMAZON_NA													Default Amazon Template							
Oil Slick 50pc 3 oz Glass Jar with Black Child Resistant Lid for packaging, makeup, candy, spice, candles, honey, and medicine	These glass jars with black child-resistant lids provide versatile storage for a variety of products. At 3 oz, they are ideal for packaging flowers, homemade candles, honey, spices, crafts and more. The glass construction offers visibility and durability while the black lids match most aesthetic styles. Each lid locks securely to keep curious little hands safe yet opens easily for adult use. Perfect for artisans, crafters, and businesses, this set of 50 jars allows creation of customized products and bulk packaging solutions. Use them to package premium flowers, fill with homemade jams and jellies, or store craft supplies in the workshop.	0305B6YQGTQ	50pc3ozCRlidBLKfeb2024	65		2024-03-05 09:21:22 PST		y	1			11				B0CX68J581						B0CX68J581				AMAZON_NA													Regional Prime (Ground + Air)							
Oil Slick CLEAR Roll – 16" × 50' Bulk FEP Film, Terp-Proof Ultra-Transparent Non-Stick Release Sheet for Botanical Extraction, Slab Storage, 3-D Printing & Industrial Composites	Meet the future of non-stick release material.<br> Oil Slick’s CLEAR Roll pairs PTFE-level slipperiness with true transparency. Our proprietary FEP Polymer-Alloy is extrusion-cast for glass-smooth clarity, then wound onto a 3-inch kraft core in two calibrated gauges.<br><br> ENGINEERED FOR EXTRACT ARTISTS – Zero surface energy means viscous concentrates slide off without freezer pops or scraping.<br> 3-D PRINTING READY – Optical-grade FEP vat liner lasts 3× longer under UV-LED exposure and peels effortlessly between prints.<br> INDUSTRIAL TOUGH – Trusted in composite lay-ups as a high-temp release layer that won’t buckle under vacuum or autoclave cycles.<br><br> SPECIFICATIONS<br> Width: 16 in (40.6 cm) | Length: 50 ft (15.24 m)<br> Gauge: 1 mil (0.001″) or 2 mil (0.002″)<br> Temperature range: –100 °C to +260 °C (–148 °F to +500 °F)<br> Compliance: FDA 21 CFR 177.1550, RoHS, BPA-free<br> Country of origin: USA<br><br> Oil Slick products are intended for legal uses only. Always follow local regulations.	0329UCJRRBK	5R-5BQC-WV1Q	190		2018-03-29 11:10:06 PDT		y	3			11				B07BSWZRBP						798304434033				AMAZON_NA													Regional Prime (Ground)							
Oil Slick Saucy Diamond Brand - 90pcs 7ml Thick Bottom Airtight Glass Jars, Frosted Low Profile Design for Premium Presentation	<p>Saucy Diamond Brand introduces the pinnacle of storage elegance with our <strong>90pcs 7ml Thick Bottom Airtight Glass Jars</strong>. Meticulously crafted for those who demand the best, these jars feature a distinct frosted and low profile design, ensuring your products are not just stored, but showcased. The airtight seal guarantees freshness, making it ideal for a myriad of uses - whether for exquisite essential oils, luxurious cosmetics, or unique spices. The thick bottom construction not only adds to the jar's durability but also gives it a weight of quality unmatched in the market. Supplied in a generous bulk set of 90, these jars meet both the rigorous demands of commercial enterprises and the refined tastes of discerning individuals. With Saucy Diamond, elevate your storage solutions to realms of unmatched elegance and functionality.</p>	1001V0EHUGK	684753028612	48		2019-10-01 15:45:43 PDT		y	3			11				B07YMRPNJL						684753028612				AMAZON_NA													Default Amazon Template							
Oil Slick Pad Platinum Cured non-stick Silicone Pad 12x8.5"		0104BCGQDYP	798304216882	7		2024-01-04 12:35:43 PST		y	1			11				B0080S1JWW						B0080S1JWW				AMAZON_NA													Default Amazon Template							
