Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Color (product.metafields.shopify.color-pattern),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
18-oz-child-resistant-glass-jars-24-pack-airtight-odor-proof-cannabis-packaging-with-black-lids,"18 oz Child-Resistant Glass Jars (24 Pack) – Airtight, Odor-Proof Cannabis Packaging with Black Lids","<p>Elevate your cannabis packaging with our<span> </span><strong>18 oz Child-Resistant Glass Jars</strong>, featuring sleek black lids and a secure,<span> </span><strong>childproof twist mechanism</strong>. Each jar is constructed from<span> </span><strong>Grade A pharmaceutical glass</strong>—ensuring professional presentation and maximum product preservation. Dispensary owners and producers will appreciate the<span> </span><strong>airtight, moisture-resistant, and odor-proof</strong><span> </span>design, which expertly maintains the<span> </span><strong>freshness, potency, and aroma</strong><span> </span>of your flower or dry bud medication.</p>
<p><strong>Key Benefits &amp; Features</strong></p>
<ul>
<li>
<strong>Child-Resistant Compliance</strong>: Meet regulatory standards with a childproof cap and polyethylene foam liner designed for safe cannabis storage.</li>
<li>
<strong>High-Quality Pharmaceutical Glass</strong>: Durable, scratch-resistant material highlights product quality while maintaining a clean, upscale look.</li>
<li>
<strong>Airtight &amp; Odor-Proof Seal</strong>: Prevents unwanted smells and moisture leaks to keep your cannabis fresh and potent.</li>
<li>
<strong>Generous Capacity</strong>: Holds up to<span> </span><strong>28 grams</strong><span> </span>of flower or dry bud—ideal for medical or recreational dispensaries.</li>
<li>
<strong>Sleek Black Lid</strong>: Create a professional, discreet branding aesthetic and streamline your packaging design.</li>
<li>
<strong>Convenient Bulk Pack</strong>: Includes<span> </span><strong>24 jars per case</strong>, perfect for maintaining consistent inventory and meeting increased demand.</li>
</ul>
<h3><strong>Why Choose Our 18 oz Child-Resistant Glass Jars?</strong></h3>
<ol>
<li>
<strong>Regulatory Compliance</strong>: Confidently comply with state and local laws regarding child-resistant cannabis packaging.</li>
<li>
<strong>Premium Presentation</strong>: Glass jars not only protect your products but also convey a sense of quality and trust to your customers.</li>
<li>
<strong>Extended Shelf Life</strong>: The airtight seal helps retain the cannabinoids and terpenes for longer, ensuring customers receive a fresh and potent product.</li>
<li>
<strong>Efficiency &amp; Value</strong>: Purchasing jars in a 24-pack saves you time and money in the long run by reducing frequent re-orders.</li>
</ol>
<h3><strong>Product Specifications</strong></h3>
<ul>
<li>
<strong>Material</strong>: Grade A pharmaceutical glass</li>
<li>
<strong>Capacity</strong>: 18 oz (up to 28 grams of flower/dry bud)</li>
<li>
<strong>Dimensions</strong>:
<ul>
<li>Height: 4.5 inches</li>
<li>Mouth Diameter: 2.7 inches</li>
<li>Base Diameter: 3.3 inches</li>
</ul>
</li>
<li>
<strong>Lid</strong>: Screw cap with child-resistant twist mechanism + polyethylene foam liner</li>
<li>
<strong>Quantity</strong>: 24 jars per case</li>
<li>
<strong>Color</strong>: Clear glass jar, black lid (caps come on jars)</li>
</ul>
<hr>
<h2><strong>Additional Information &amp; Usage Tips</strong></h2>
<ul>
<li>
<strong>Perfect for Branding</strong>: Customize the jars with labels or stickers to match your dispensary’s branding and highlight product details.</li>
<li>
<strong>Optimal Storage</strong>: For best results, store jars in a cool, dry place away from direct sunlight to help maintain the quality of your cannabis products.</li>
<li>
<strong>Multi-Purpose</strong>: Though ideal for cannabis flower or buds, these jars can also hold edibles, topicals, or even non-cannabis goods requiring odor-proof containers.</li>
</ul>
<p> </p>
<p>Ready to upgrade your dispensary’s packaging game?<span> </span><strong>Order your 24-pack of 18 oz Child-Resistant Glass Jars</strong><span> </span>today and experience premium product presentation, airtight security, and confidence in regulatory compliance—all in one sleek solution.</p>",Kraft & Kitchen,Business & Industrial > Retail > Paper & Plastic Shopping Bags,glass jar,"child resistant, container, jar, Storage and Packaging",true,Quantity,24 (single case),,,,,,,,"",4535.9237,,deny,manual,48.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0277/7245/2943/files/18-oz-child-resistant-glass-jars-24-pack-airtight-odor-proof-cannabis-packaging-with-black-lids-712238.jpg?v=1737094796,1,"18 oz Child - Resistant Glass Jars (24 Pack) – Airtight, Odor - Proof Cannabis Packaging with Black Lids - Kraft & Kitchen",false,,,clear,,lb,,,active
18-oz-child-resistant-glass-jars-24-pack-airtight-odor-proof-cannabis-packaging-with-black-lids,,,,,,,,,240 (10 Cases),,,,,,,,"",4535.9237,,deny,manual,400.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0277/7245/2943/files/18-oz-child-resistant-glass-jars-24-pack-airtight-odor-proof-cannabis-packaging-with-black-lids-619984.jpg?v=1737094796,2,"18 oz Child - Resistant Glass Jars (24 Pack) – Airtight, Odor - Proof Cannabis Packaging with Black Lids - Kraft & Kitchen",,,,,,lb,,,
18-oz-child-resistant-glass-jars-24-pack-airtight-odor-proof-cannabis-packaging-with-black-lids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0277/7245/2943/files/18-oz-child-resistant-glass-jars-24-pack-airtight-odor-proof-cannabis-packaging-with-black-lids-510906.jpg?v=1737094796,3,"18 oz Child - Resistant Glass Jars (24 Pack) – Airtight, Odor - Proof Cannabis Packaging with Black Lids - Kraft & Kitchen",,,,,,,,,
mylar-bags-for-storage,Mylar Bags for Storage,"<p data-mce-fragment=""1"">These Mylar Bags are the perfect storage solution for your most valuable items ! Whether you're looking to store herbs, spices, or any other small items, these bags are the perfect choice for keeping your items fresh and protected. With five different sizes available, you'll find the perfect size for your needs.</p>
<ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;""><strong>Preroll </strong>﻿(2.5"" x 9"")</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;""><strong>1 Gram</strong> (4.5"" x 3"")</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;""><strong>⅛ oz</strong> or 3.5 Gram (5"" x 3.6"" x 1.5"")</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;""><strong>¼ oz</strong> or 7 Gram (6.5"" x 4"" x 1.77"")</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;""><strong>½ oz</strong> or 14 Gram (8.15"" x 5"" x 2.36"")</span></li>
</ul>
<ul>
<ul></ul>
</ul>
<p data-mce-fragment=""1"">Available in Matte Black, with an Optional Clear Window, to give you a sleek and stylish look that is perfect for any use. Either keep it totally private or see what's inside the bag at a glance, its up to you just select the option that meets your needs.. </p>
<p data-mce-fragment=""1"">These Mylar Bags are designed to keep your items fresh and protected, no matter what. They are smell proof, so you won't have to worry about any unwanted odors seeping through.</p>
<p data-mce-fragment=""1"">The zip-top design makes them resealable, so you can use them again and again without any hassle. Plus, with their UV protection, your items will be safe from damage from harmful rays.<br></p>
<p data-mce-fragment=""1"">For even more convenience, these Mylar Bags are heat sealable. Simply seal them up and enjoy peace of mind knowing that your items are safe and secure. With a tear notch at the top, they're easy to access also! Whether you're storing herbs, spices, or anything else, these Mylar Bags are the perfect choice for keeping your items fresh and protected.</p>",Oil Slick,Uncategorized,"","MCF, Mylar, Storage and Packaging",true,Size,1g,,Quantity,100,,Color,Matte Black,,MYLAR-G-100B,317.514659,,continue,manual,15.00,30.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0277/7245/2943/products/mylar-bags-for-storage-824828.jpg?v=1683119363,1,Mylar Bags for Storage - Kraft & Kitchen,false,,,,,lb,,,active
mylar-bags-for-storage,,,,,,,,,1g,,,100,,,Matte Black w/ window,,MYLAR-G-100BW,317.514659,,continue,manual,15.00,30.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0277/7245/2943/products/mylar-bags-for-storage-262666.jpg?v=1683119363,2,Mylar Bags for Storage - Kraft & Kitchen,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1g,,,500,,,Matte Black,,MYLAR-G-500B,1587.573295,,continue,manual,50.00,100.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0277/7245/2943/products/mylar-bags-for-storage-902800.jpg?v=1683119363,3,Mylar Bags for Storage - Kraft & Kitchen,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1g,,,500,,,Matte Black w/ window,,MYLAR-G-500BW,1587.573295,,continue,manual,50.00,100.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0277/7245/2943/products/mylar-bags-for-storage-808971.jpg?v=1683119363,4,Mylar Bags for Storage - Kraft & Kitchen,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1g,,,1000,,,Matte Black,,MYLAR-G-1000B,3175.14659,,continue,amazon-mcf,75.00,150.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0277/7245/2943/products/mylar-bags-for-storage-519712.jpg?v=1683119363,5,Mylar Bags for Storage - Kraft & Kitchen,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1g,,,1000,,,Matte Black w/ window,,MYLAR-G-1000BW,3175.14659,,continue,amazon-mcf,75.00,150.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0277/7245/2943/products/mylar-bags-for-storage-412212.jpg?v=1683119363,6,Mylar Bags for Storage - Kraft & Kitchen,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1g,,,5000,,,Matte Black,,MYLAR-G-5000B,15875.73295,,continue,manual,300.00,600.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0277/7245/2943/products/mylar-bags-for-storage-316133.jpg?v=1683119363,7,Mylar Bags for Storage - Kraft & Kitchen,,,,,,lb,,,
