Product Title,Handle,Type,Variant Attributes,Variant Options (all),SKU,Qty,Qty Unit,Qty Note,Current Price,Current Per Unit,Competitor Name,Best Competitor Per Unit,Competitor Price (for same qty),Competitor URL,Competitor Notes,Recommended Per Unit Price,Recommended Shopify Price,Short Description,Competitor Match Type,Recommendation Action
6ml Glass No-Neck Jar with Silicone lid,6ml-glass-no-neck-jar,glass jar,,Quantity: 200,NONECK1,200,pcs,200,39.99,0.19995000000000002,420 Stock,0.2,40.0,https://420stock.com/products/no-neck-glass-jars-with-silicone-lids,case 100,0.295,59.00,"The 6ml Glass No‑Neck Jar with Silicone Lid is a straight-sided glass concentrate jar built for extractors, processors, and brands who hate leaving material behind.…",Direct / tiered,Raise
6ml Glass No-Neck Jar with Silicone lid,6ml-glass-no-neck-jar,glass jar,,Quantity: 400,NONECK2,400,pcs,400,42.99,0.107475,420 Stock,0.2,80.0,https://420stock.com/products/no-neck-glass-jars-with-silicone-lids,case 100,0.19,76.99,"The 6ml Glass No‑Neck Jar with Silicone Lid is a straight-sided glass concentrate jar built for extractors, processors, and brands who hate leaving material behind.…",Direct / tiered,Raise
6ml Glass No-Neck Jar with Silicone lid,6ml-glass-no-neck-jar,glass jar,,Quantity: 1000,NONECK3,1000,pcs,1000,49.99,0.04999,420 Stock,0.18,180.0,https://420stock.com/products/no-neck-glass-jars-with-silicone-lids,bulk discount,0.17099999999999999,170.99,"The 6ml Glass No‑Neck Jar with Silicone Lid is a straight-sided glass concentrate jar built for extractors, processors, and brands who hate leaving material behind.…",Direct / tiered,Raise
7ml Glass Jars- Low Profile heavy bottom- Screw Top with Lids,7ml-screw-top-jars-with-black-lids,glass jar,Lid Color: Black; Glass: Clear,Quantity: 90; Lid Color: Black; Glass: Clear,7MLJAR-01B,90,pcs,90,49.99,0.5554444444444445,420 Stock,0.41250000000000003,37.125,https://420stock.com/products/7ml-black-cap-glass-concentrate-container-trap-jar,Extrapolated from 360+ tier for qty 90. 1-4 cases (360/case),0.477778,43.00,"The 7ml Low Profile Heavy Bottom Glass Jar is a lab-grade concentrate container built for extractors, processors, and brands who need packaging that performs on the bench and looks right on the shelf.…",Estimated (small-pack adj.),Lower
7ml Glass Jars- Low Profile heavy bottom- Screw Top with Lids,7ml-screw-top-jars-with-black-lids,glass jar,Lid Color: Black; Glass: Frosted,Quantity: 90; Lid Color: Black; Glass: Frosted,7MLJAR-01BF,90,pcs,90,9.99,0.111,420 Stock,0.41250000000000003,37.125,https://420stock.com/products/7ml-black-cap-glass-concentrate-container-trap-jar,Extrapolated from 360+ tier for qty 90. 1-4 cases (360/case),0.533333,48.00,"The 7ml Low Profile Heavy Bottom Glass Jar is a lab-grade concentrate container built for extractors, processors, and brands who need packaging that performs on the bench and looks right on the shelf.…",Estimated (small-pack adj.),Raise
7ml Glass Jars- Low Profile heavy bottom- Screw Top with Lids,7ml-screw-top-jars-with-black-lids,glass jar,Lid Color: Black; Glass: Clear,Quantity: 180; Lid Color: Black; Glass: Clear,7MLJAR-02B,180,pcs,180,12.99,0.07216666666666667,420 Stock,0.41250000000000003,74.25,https://420stock.com/products/7ml-black-cap-glass-concentrate-container-trap-jar,Extrapolated from 360+ tier for qty 180. 1-4 cases (360/case),0.39187500000000003,70.99,"The 7ml Low Profile Heavy Bottom Glass Jar is a lab-grade concentrate container built for extractors, processors, and brands who need packaging that performs on the bench and looks right on the shelf.…",Estimated (small-pack adj.),Raise
7ml Glass Jars- Low Profile heavy bottom- Screw Top with Lids,7ml-screw-top-jars-with-black-lids,glass jar,Lid Color: Black; Glass: Frosted,Quantity: 180; Lid Color: Black; Glass: Frosted,7MLJAR-02BF,180,pcs,180,14.99,0.08327777777777778,420 Stock,0.41250000000000003,74.25,https://420stock.com/products/7ml-black-cap-glass-concentrate-container-trap-jar,Extrapolated from 360+ tier for qty 180. 1-4 cases (360/case),0.39187500000000003,70.99,"The 7ml Low Profile Heavy Bottom Glass Jar is a lab-grade concentrate container built for extractors, processors, and brands who need packaging that performs on the bench and looks right on the shelf.…",Estimated (small-pack adj.),Raise
7ml Glass Jars- Low Profile heavy bottom- Screw Top with Lids,7ml-screw-top-jars-with-black-lids,glass jar,Lid Color: Black; Glass: Clear,Quantity: 450; Lid Color: Black; Glass: Clear,7MLJAR-03B,450,pcs,450,49.99,0.11108888888888889,420 Stock,0.33,148.5,https://420stock.com/products/7ml-black-cap-glass-concentrate-container-trap-jar,1-4 cases (360/case),0.3135,141.99,"The 7ml Low Profile Heavy Bottom Glass Jar is a lab-grade concentrate container built for extractors, processors, and brands who need packaging that performs on the bench and looks right on the shelf.…",Direct / tiered,Raise
7ml Glass Jars- Low Profile heavy bottom- Screw Top with Lids,7ml-screw-top-jars-with-black-lids,glass jar,Lid Color: Black; Glass: Frosted,Quantity: 450; Lid Color: Black; Glass: Frosted,7MLJAR-03BF,450,pcs,450,49.99,0.11108888888888889,420 Stock,0.33,148.5,https://420stock.com/products/7ml-black-cap-glass-concentrate-container-trap-jar,1-4 cases (360/case),0.3135,141.99,"The 7ml Low Profile Heavy Bottom Glass Jar is a lab-grade concentrate container built for extractors, processors, and brands who need packaging that performs on the bench and looks right on the shelf.…",Direct / tiered,Raise
7ml Glass Jars- Low Profile heavy bottom- Screw Top with Lids,7ml-screw-top-jars-with-black-lids,glass jar,Lid Color: Black; Glass: Clear,Quantity: 900; Lid Color: Black; Glass: Clear,7MLJAR-04B,900,pcs,900,29.99,0.03332222222222222,420 Stock,0.33,297.0,https://420stock.com/products/7ml-black-cap-glass-concentrate-container-trap-jar,1-4 cases (360/case),0.3135,282.99,"The 7ml Low Profile Heavy Bottom Glass Jar is a lab-grade concentrate container built for extractors, processors, and brands who need packaging that performs on the bench and looks right on the shelf.…",Direct / tiered,Raise
